"","P1","P2","P3","P4","P5","P6","P7","P8","P9","Points"
"71","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Salvador Perez","Bryce Harper","112.929266666624"
"72","Russell Martin","Troy Tulowitzki","Prince Fielder","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Nelson Cruz","Bryce Harper","112.920033333248"
"73","Russell Martin","Steven Moya","Miguel Cabrera","Starlin Castro","Rich Hill","Trevor Story","Nolan Arenado","Nelson Cruz","Bryce Harper","112.913066666608"
"74","Troy Tulowitzki","Miguel Cabrera","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Scott Van Slyke","Bryce Harper","112.90633333328"
"75","Steven Moya","Prince Fielder","Brian McCann","Jed Lowrie","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.90576666656"
"76","Justin Upton","Troy Tulowitzki","Miguel Cabrera","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.901466666608"
"77","Steven Moya","Miguel Cabrera","Starlin Castro","Stephen Vogt","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.896266666608"
"78","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Maikel Franco","Bryce Harper","112.892999999968"
"79","Steven Moya","Miguel Cabrera","Jed Lowrie","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Salvador Perez","Bryce Harper","112.89073333328"
"80","Steven Moya","Prince Fielder","Nomar Mazara","Brian McCann","Jason Kipnis","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.87656666656"
"81","Troy Tulowitzki","Steven Moya","Prince Fielder","Brian McCann","Josh Reddick","Rich Hill","DJ LeMahieu","Nolan Arenado","Bryce Harper","112.869599999904"
"82","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Rich Hill","Trevor Story","Carlos Gonzalez","Anthony Rendon","Bryce Harper","112.868766666672"
"83","Russell Martin","Miguel Cabrera","Jacoby Ellsbury","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.855399999952"
"84","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","Josh Reddick","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","112.845266666608"
"85","Justin Upton","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.844699999936"
"86","Miguel Cabrera","Lonnie Chisenhall","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Wilson Ramos","Bryce Harper","112.838399999936"
"87","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Rich Hill","Trevor Story","Nolan Arenado","Scott Van Slyke","Bryce Harper","112.835699999936"
"88","Steven Moya","Prince Fielder","Jason Kipnis","Stephen Vogt","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.832599999904"
"89","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Josh Reddick","Khris Davis","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.832099999952"
"90","Justin Upton","Steven Moya","Miguel Cabrera","Brian McCann","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.830833333264"
"91","Justin Upton","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.824399999952"
"92","Justin Upton","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","112.82343333328"
"93","Steven Moya","Miguel Cabrera","Didi Gregorius","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.820466666608"
"94","Troy Tulowitzki","Miguel Cabrera","Jason Kipnis","Jacoby Ellsbury","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.818899999952"
"95","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.81413333328"
"96","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","George Springer","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.811366666608"
"97","Russell Martin","Miguel Cabrera","Lonnie Chisenhall","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.807266666608"
"98","Russell Martin","Miguel Cabrera","Starlin Castro","Jacoby Ellsbury","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.79863333328"
"99","Justin Upton","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Rich Hill","Nolan Arenado","Bryce Harper","112.792299999952"
"100","Justin Upton","Troy Tulowitzki","Prince Fielder","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.781033333232"
"101","Russell Martin","Steven Moya","Miguel Cabrera","Josh Reddick","Rich Hill","Trevor Story","Carlos Gonzalez","Nolan Arenado","Howie Kendrick","112.777466666688"
"102","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","Josh Reddick","Khris Davis","Rich Hill","Nolan Arenado","Bryce Harper","112.77533333328"
"103","Steven Moya","Miguel Cabrera","Jason Kipnis","Evan Gattis","Josh Reddick","Carlos Correa","Rich Hill","Nolan Arenado","Bryce Harper","112.77493333328"
"104","Justin Upton","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.774066666592"
"105","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","Lonnie Chisenhall","Carlos Correa","Rich Hill","Nolan Arenado","Bryce Harper","112.772166666608"
"106","Troy Tulowitzki","Miguel Cabrera","Jason Kipnis","Lonnie Chisenhall","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.770766666608"
"107","Russell Martin","Steven Moya","Miguel Cabrera","Khris Davis","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.761466666608"
"108","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","George Springer","Rich Hill","Nolan Arenado","Bryce Harper","112.754599999936"
"109","Russell Martin","Miguel Cabrera","Starlin Castro","Lonnie Chisenhall","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.750499999936"
"110","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Rich Hill","Nolan Arenado","Howie Kendrick","Nelson Cruz","Bryce Harper","112.74933333328"
"111","Steven Moya","Miguel Cabrera","Brian McCann","Jason Kipnis","George Springer","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","112.748799999968"
"112","Steven Moya","Miguel Cabrera","Jason Kipnis","Jacoby Ellsbury","Evan Gattis","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.748266666608"
