"","P1","P2","P3","P4","P5","P6","P7","P8","P9","Points"
"149","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Nomar Mazara","Jason Kipnis","Stephen Vogt","Rich Hill","Nolan Arenado","Bryce Harper","112.626266666624"
"150","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Rich Hill","Nolan Arenado","Nelson Cruz","Salvador Perez","Bryce Harper","112.613866666624"
"151","Russell Martin","Steven Moya","Carlos Santana","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.602066666576"
"152","Mark Teixeira","Brian McCann","George Springer","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.598733333232"
"153","Steven Moya","Miguel Cabrera","Robinson Chirinos","Jed Lowrie","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.594366666608"
"154","Miguel Cabrera","Nomar Mazara","Brian McCann","Josh Reddick","Carlos Correa","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.59383333328"
"155","Steven Moya","Miguel Cabrera","Brian McCann","Josh Reddick","Carlos Correa","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.59093333328"
"156","Troy Tulowitzki","Mark Teixeira","Evan Gattis","Josh Reddick","Rich Hill","Carlos Gonzalez","Nolan Arenado","Howie Kendrick","Bryce Harper","112.590899999952"
"157","Troy Tulowitzki","Miguel Cabrera","Brian McCann","Lonnie Chisenhall","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.586766666608"
"158","Justin Upton","Russell Martin","Mark Teixeira","Jason Kipnis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.579666666576"
"159","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","Brian McCann","Jacoby Ellsbury","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.57813333328"
"160","Troy Tulowitzki","Steven Moya","Carlos Santana","Jason Kipnis","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.565566666576"
"161","Steven Moya","Miguel Cabrera","Nomar Mazara","Robinson Chirinos","Jason Kipnis","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.565166666608"
"162","Steven Moya","Miguel Cabrera","Brian McCann","Jacoby Ellsbury","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.564266666608"
"163","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","George Springer","Rich Hill","Nolan Arenado","Bryce Harper","112.560766666608"
"164","Russell Martin","Troy Tulowitzki","Mark Teixeira","Jason Kipnis","George Springer","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.56019999992"
"165","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Robinson Chirinos","Josh Reddick","Rich Hill","DJ LeMahieu","Nolan Arenado","Bryce Harper","112.558199999952"
"166","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Jacoby Ellsbury","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.557833333296"
"167","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Carlos Beltran","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.556999999952"
"168","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Josh Reddick","Rich Hill","Carlos Gonzalez","Nolan Arenado","Howie Kendrick","112.556966666688"
"169","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Jacoby Ellsbury","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","112.556866666624"
"170","Starlin Castro","Mark Teixeira","Brian McCann","George Springer","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.54196666656"
"171","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Khris Davis","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","112.540966666608"
"172","Troy Tulowitzki","Miguel Cabrera","Lonnie Chisenhall","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","112.54083333328"
"173","Mark Teixeira","Brian McCann","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Nelson Cruz","Bryce Harper","112.536699999904"
"174","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Josh Reddick","Carlos Correa","Rich Hill","Nolan Arenado","Bryce Harper","112.534166666608"
"175","Justin Upton","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Jed Lowrie","Rich Hill","Nolan Arenado","Bryce Harper","112.533266666608"
"176","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","Brian McCann","Lonnie Chisenhall","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.529999999936"
"177","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","Nomar Mazara","Brian McCann","Rich Hill","Nolan Arenado","Bryce Harper","112.525899999936"
"178","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Jacoby Ellsbury","Rich Hill","Nolan Arenado","Bryce Harper","112.525733333296"
"179","Troy Tulowitzki","Nomar Mazara","Mark Teixeira","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.525333333248"
"180","Troy Tulowitzki","Miguel Cabrera","Chris Gimenez","Jason Kipnis","George Springer","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.525299999952"
"181","Troy Tulowitzki","Steven Moya","Mark Teixeira","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.522433333248"
"182","Miguel Cabrera","Nomar Mazara","Evan Gattis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.521799999936"
"183","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jurickson Profar","Brian McCann","Rich Hill","Nolan Arenado","Jayson Werth","Bryce Harper","112.520799999936"
"184","Troy Tulowitzki","Mark Teixeira","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Jayson Werth","Bryce Harper","112.520233333248"
"185","Miguel Cabrera","Nomar Mazara","Brian McCann","Lonnie Chisenhall","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.519033333264"
"186","Steven Moya","Miguel Cabrera","Evan Gattis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.518899999936"
"187","Miguel Cabrera","Brian McCann","Jason Kipnis","Josh Reddick","Trevor Story","Carlos Gonzalez","Nolan Arenado","Bryce Harper","Lucas Giolito","112.518833333328"
