,P1,P2,P3,P4,P5,P6,P7,P8,P9,Points,salary,variance,stdev
72,Russell Martin,Troy Tulowitzki,Prince Fielder,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Nelson Cruz,Bryce Harper,112.920033333,35000.0,473.663799151,21.7638185793
73,Russell Martin,Steven Moya,Miguel Cabrera,Starlin Castro,Rich Hill,Trevor Story,Nolan Arenado,Nelson Cruz,Bryce Harper,112.913066667,35000.0,603.616435044,24.5686066972
74,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Scott Van Slyke,Bryce Harper,112.906333333,34900.0,477.848141977,21.8597379211
75,Steven Moya,Prince Fielder,Brian McCann,Jed Lowrie,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.905766667,34800.0,545.06241694,23.3465718456
76,Justin Upton,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,112.901466667,34700.0,557.239720664,23.6059255413
77,Steven Moya,Miguel Cabrera,Starlin Castro,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.896266667,34900.0,480.970035321,21.9310290529
78,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Maikel Franco,Bryce Harper,112.893,35000.0,448.465036729,21.1769930993
79,Steven Moya,Miguel Cabrera,Jed Lowrie,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Salvador Perez,Bryce Harper,112.890733333,35000.0,687.721792514,26.2244502805
80,Steven Moya,Prince Fielder,Nomar Mazara,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.876566667,35000.0,465.702468738,21.5801406098
81,Troy Tulowitzki,Steven Moya,Prince Fielder,Brian McCann,Josh Reddick,Rich Hill,DJ LeMahieu,Nolan Arenado,Bryce Harper,112.8696,34900.0,554.739777496,23.5529144162
82,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Anthony Rendon,Bryce Harper,112.868766667,35000.0,582.80694127,24.1413947665
83,Russell Martin,Miguel Cabrera,Jacoby Ellsbury,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.8554,34900.0,593.263278953,24.3569965093
84,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jurickson Profar,Josh Reddick,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,112.845266667,34900.0,534.428902538,23.1177183679
85,Justin Upton,Troy Tulowitzki,Miguel Cabrera,Starlin Castro,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.8447,34800.0,545.396026948,23.3537154849
86,Miguel Cabrera,Lonnie Chisenhall,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Wilson Ramos,Bryce Harper,112.8384,35000.0,609.638988322,24.690868521
87,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Nolan Arenado,Scott Van Slyke,Bryce Harper,112.8357,35000.0,592.206696042,24.335297328
88,Steven Moya,Prince Fielder,Jason Kipnis,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.8326,35000.0,473.73350809,21.7654200072
89,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Josh Reddick,Khris Davis,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,112.8321,34900.0,578.574202903,24.053569442
90,Justin Upton,Steven Moya,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.830833333,34800.0,695.036144685,26.363538167
91,Justin Upton,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.8244,35000.0,494.574301384,22.2390265386
92,Justin Upton,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,112.823433333,35000.0,564.541400844,23.7600799839
93,Steven Moya,Miguel Cabrera,Didi Gregorius,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.820466667,34800.0,440.723360187,20.9934123045
94,Troy Tulowitzki,Miguel Cabrera,Jason Kipnis,Jacoby Ellsbury,Evan Gattis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.8189,34900.0,441.584116212,21.0139029267
95,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jurickson Profar,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.814133333,34600.0,556.268435741,23.5853436638
96,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,George Springer,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,112.811366667,34600.0,574.480482793,23.968322486
97,Russell Martin,Miguel Cabrera,Lonnie Chisenhall,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.807266667,34700.0,603.971924949,24.5758402694
98,Russell Martin,Miguel Cabrera,Starlin Castro,Jacoby Ellsbury,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.798633333,35000.0,416.832282519,20.4164708635
99,Justin Upton,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Rich Hill,Nolan Arenado,Bryce Harper,112.7923,34700.0,642.385387746,25.3453227982
100,Justin Upton,Troy Tulowitzki,Prince Fielder,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.781033333,34900.0,482.148794389,21.957886838
101,Russell Martin,Steven Moya,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,112.777466667,34900.0,627.855774468,25.0570503944
102,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Starlin Castro,Josh Reddick,Khris Davis,Rich Hill,Nolan Arenado,Bryce Harper,112.775333333,35000.0,449.305853748,21.1968359372
103,Steven Moya,Miguel Cabrera,Jason Kipnis,Evan Gattis,Josh Reddick,Carlos Correa,Rich Hill,Nolan Arenado,Bryce Harper,112.774933333,34800.0,461.830015632,21.4902307022
104,Justin Upton,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.774066667,34900.0,577.177234457,24.0245131992
105,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Lonnie Chisenhall,Carlos Correa,Rich Hill,Nolan Arenado,Bryce Harper,112.772166667,35000.0,457.632971453,21.3923577815
106,Troy Tulowitzki,Miguel Cabrera,Jason Kipnis,Lonnie Chisenhall,Evan Gattis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.770766667,34700.0,454.183365241,21.3115781969
107,Russell Martin,Steven Moya,Miguel Cabrera,Khris Davis,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.761466667,35000.0,688.116711153,26.2319787884
108,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,George Springer,Rich Hill,Nolan Arenado,Bryce Harper,112.7546,34700.0,573.271766372,23.9430943358
109,Russell Martin,Miguel Cabrera,Starlin Castro,Lonnie Chisenhall,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.7505,34800.0,419.85897666,20.4904606259
110,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Rich Hill,Nolan Arenado,Howie Kendrick,Nelson Cruz,Bryce Harper,112.749333333,34600.0,727.610937576,26.9742643565
111,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,George Springer,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,112.7488,34800.0,404.826094762,20.1202906232
112,Steven Moya,Miguel Cabrera,Jason Kipnis,Jacoby Ellsbury,Evan Gattis,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.748266667,35000.0,460.705103915,21.464042115
113,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Nolan Arenado,Yasiel Puig,Bryce Harper,112.746033333,34900.0,558.620398248,23.6351517501
114,Russell Martin,Nomar Mazara,Mark Teixeira,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.745833333,35000.0,424.575455547,20.60522884
115,Russell Martin,Steven Moya,Mark Teixeira,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.742933333,34500.0,444.019883005,21.0717793033
116,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Evan Gattis,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,112.740966667,34900.0,460.538458636,21.4601597999
117,Russell Martin,Steven Moya,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.736266667,34900.0,681.884574966,26.1129196944
118,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jed Lowrie,George Springer,Rich Hill,Nolan Arenado,Bryce Harper,112.7343,34900.0,558.301306341,23.6284004186
119,Steven Moya,Prince Fielder,Jurickson Profar,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.732233333,34900.0,511.353947407,22.6131366114
120,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Evan Gattis,Khris Davis,Rich Hill,Nolan Arenado,Bryce Harper,112.724966667,35000.0,521.802676531,22.8430006026
121,Russell Martin,Steven Moya,Miguel Cabrera,Starlin Castro,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,112.7207,35000.0,446.532197036,21.1313084554
122,Russell Martin,Troy Tulowitzki,Steven Moya,Prince Fielder,Rich Hill,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,Bryce Harper,112.7196,34900.0,626.779173938,25.0355581911
123,Steven Moya,Mark Teixeira,Jason Kipnis,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Nolan Arenado,Bryce Harper,112.715766667,35000.0,627.533892583,25.0506265906
124,Justin Upton,Steven Moya,Prince Fielder,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.7104,35000.0,485.074168247,22.0243993845
125,Steven Moya,Miguel Cabrera,Chris Gimenez,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.708033333,34600.0,417.76705959,20.4393507624
126,Russell Martin,Steven Moya,Mike Napoli,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.7063,35000.0,427.688880084,20.6806402242
127,Steven Moya,Miguel Cabrera,Jason Kipnis,Lonnie Chisenhall,Evan Gattis,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.700133333,34800.0,468.925620432,21.654690495
128,Troy Tulowitzki,Steven Moya,Jason Kipnis,Evan Gattis,Josh Reddick,Rich Hill,Mark Reynolds,Nolan Arenado,Bryce Harper,112.699766667,34900.0,333.16410419,18.2527834642
129,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Nomar Mazara,Brian McCann,Jed Lowrie,Rich Hill,Nolan Arenado,Bryce Harper,112.699433333,34800.0,570.145105488,23.8777114793
130,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jed Lowrie,Rich Hill,Nolan Arenado,Jayson Werth,Bryce Harper,112.694333333,34900.0,562.528075314,23.7176743235
131,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Rich Hill,Nolan Arenado,Nelson Cruz,Bryce Harper,112.692566667,34700.0,622.927967595,24.9585249483
132,Troy Tulowitzki,Steven Moya,Prince Fielder,Brian McCann,Jason Kipnis,George Springer,Rich Hill,Nolan Arenado,Bryce Harper,112.690933333,34800.0,510.269794892,22.5891521508
133,Russell Martin,Prince Fielder,Jason Kipnis,Lonnie Chisenhall,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.686833333,34900.0,452.332827053,21.2681176189
134,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Nelson Cruz,112.686766667,34800.0,448.916727399,21.1876550708
135,Troy Tulowitzki,Steven Moya,Rougned Odor,Prince Fielder,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.680866667,34900.0,557.268403246,23.6065330628
136,Russell Martin,Steven Moya,Starlin Castro,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Nolan Arenado,Bryce Harper,112.6795,35000.0,610.961014074,24.7176255752
