,P1,P2,P3,P4,P5,P6,P7,P8,P9,Points,salary,variance,stdev
167,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Carlos Beltran,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,112.557,34900.0,478.536265235,21.8754717717
168,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,112.556966667,34600.0,515.619207412,22.7072501068
169,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Jacoby Ellsbury,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,112.556866667,34900.0,530.377320685,23.02992229
170,Starlin Castro,Mark Teixeira,Brian McCann,George Springer,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.541966667,35000.0,354.483382575,18.827729087
171,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Khris Davis,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,112.540966667,34700.0,609.624890706,24.690583037
172,Troy Tulowitzki,Miguel Cabrera,Lonnie Chisenhall,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,112.540833333,35000.0,533.900556692,23.10628825
173,Mark Teixeira,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Nelson Cruz,Bryce Harper,112.5367,34900.0,703.259565844,26.519041571
174,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Josh Reddick,Carlos Correa,Rich Hill,Nolan Arenado,Bryce Harper,112.534166667,34600.0,479.827463548,21.9049643585
175,Justin Upton,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Jed Lowrie,Rich Hill,Nolan Arenado,Bryce Harper,112.533266667,34800.0,673.050703532,25.9432207625
176,Troy Tulowitzki,Miguel Cabrera,Starlin Castro,Brian McCann,Lonnie Chisenhall,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.53,34500.0,495.965560615,22.2702842509
177,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jurickson Profar,Nomar Mazara,Brian McCann,Rich Hill,Nolan Arenado,Bryce Harper,112.5259,34900.0,567.972871033,23.8321814157
178,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Jacoby Ellsbury,Rich Hill,Nolan Arenado,Bryce Harper,112.525733333,34600.0,589.733250963,24.2844240402
179,Troy Tulowitzki,Nomar Mazara,Mark Teixeira,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.525333333,34700.0,528.28413232,22.9844323906
180,Troy Tulowitzki,Miguel Cabrera,Chris Gimenez,Jason Kipnis,George Springer,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.5253,34900.0,413.923398912,20.3451074932
