,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Points,salary,variance,stdev
245,Russell Martin,Miguel Cabrera,Jose Altuve,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.478916667,48800.0,208.096013461,14.4255333857
246,Miguel Cabrera,George Springer,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.47625,49600.0,241.326126268,15.534674965
247,Edwin Encarnacion,Jason Kipnis,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.475583333,49100.0,285.678014595,16.9020121463
248,Troy Tulowitzki,Ian Kinsler,Miguel Cabrera,Miguel Sano,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.47525,49900.0,310.735141069,17.627681103
249,Miguel Cabrera,Shin-Soo Choo,Brian McCann,Jed Lowrie,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.472916667,49100.0,284.695558798,16.8729238367
250,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Jayson Werth,Bryce Harper,109.470916667,49100.0,379.269744652,19.4748490277
251,Miguel Cabrera,Miguel Sano,Brian McCann,Carlos Correa,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.468583333,49600.0,217.943026777,14.7628935774
252,Russell Martin,Edwin Encarnacion,Shin-Soo Choo,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.466916667,50000.0,296.281637558,17.2128335133
253,Miguel Cabrera,Jurickson Profar,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.466583333,48000.0,279.903425021,16.7303145523
254,Brian McCann,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Daniel Murphy,Bryce Harper,109.465916667,49800.0,431.505815675,20.7727180618
255,Miguel Cabrera,Victor Martinez,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.463916667,49600.0,323.027383651,17.972962573
256,Troy Tulowitzki,Miguel Cabrera,Miguel Sano,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.46325,49300.0,305.405669547,17.4758596225
257,Troy Tulowitzki,Miguel Cabrera,Rougned Odor,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.462583333,48000.0,314.43130768,17.7322110206
258,Miguel Cabrera,Rougned Odor,Nomar Mazara,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.46125,48600.0,311.862084729,17.6596173438
259,Miguel Cabrera,Carlos Beltran,Brian McCann,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.457916667,49600.0,230.169235446,15.1713293896
260,Miguel Cabrera,Brian Dozier,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.456583333,49300.0,270.843656764,16.4573283605
261,Miguel Cabrera,Rougned Odor,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.45625,48600.0,288.30316011,16.9794923396
262,Edwin Encarnacion,Jason Kipnis,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.455916667,49500.0,207.249344082,14.3961572679
263,Miguel Cabrera,Josh Reddick,Rich Hill,Cameron Rupp,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.45525,49100.0,240.953793321,15.522686408
264,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Jason Kipnis,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.454916667,48800.0,221.314409248,14.8766397163
265,Russell Martin,Miguel Cabrera,George Springer,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.45425,48700.0,186.898373781,13.6710780036
266,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.452916667,48700.0,313.641716762,17.7099327148
267,Miguel Cabrera,Nomar Mazara,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.451583333,49300.0,310.750428444,17.6281147161
268,Russell Martin,Miguel Cabrera,Rougned Odor,Shin-Soo Choo,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.447583333,49500.0,286.693117096,16.9320145611
269,Josh Reddick,Rich Hill,Mark Reynolds,Nick Hundley,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.446916667,49200.0,381.423260068,19.5300604215
270,Miguel Cabrera,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.446583333,49300.0,297.701639381,17.2540325542
271,Brian McCann,Khris Davis,Rich Hill,Mark Reynolds,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.445583333,49500.0,354.882963533,18.8383376
272,Miguel Cabrera,Jason Kipnis,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.44525,48600.0,291.87983698,17.0844911244
273,Edwin Encarnacion,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Wilson Ramos,Bryce Harper,109.44425,50000.0,398.986537494,19.9746473684
274,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.44325,49300.0,338.699490487,18.403790112
275,Carlos Santana,Brian McCann,Jason Kipnis,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.44025,49000.0,205.877518052,14.3484325991
276,Steven Moya,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.43825,47600.0,288.996237469,16.999889337
277,Miguel Cabrera,Rougned Odor,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.436583333,49000.0,211.296044783,14.5360257561
278,Miguel Cabrera,Victor Martinez,Jacoby Ellsbury,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.435916667,49400.0,270.934260032,16.4600808027
279,Steven Moya,Edwin Encarnacion,Victor Martinez,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.434916667,50000.0,284.612279016,16.8704558035
280,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Rich Hill,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.432583333,49800.0,335.2048956,18.3086016834
281,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Wilson Ramos,Bryce Harper,109.43225,49400.0,436.510439261,20.892832246
282,Carlos Santana,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.428583333,49500.0,348.319508062,18.6633198564
283,Miguel Cabrera,Francisco Lindor,Brian McCann,Josh Reddick,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.427583333,48800.0,289.64001255,17.0188134883
284,Miguel Cabrera,Miguel Sano,Brian McCann,Jason Kipnis,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.426916667,49100.0,187.054795599,13.6767977099
285,Troy Tulowitzki,Edwin Encarnacion,Brian McCann,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.424583333,49400.0,347.802996656,18.6494771148
286,Miguel Cabrera,Ian Desmond,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.423583333,49900.0,327.572363035,18.098960275
287,Edwin Encarnacion,Nomar Mazara,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.42325,50000.0,326.05905612,18.0571054192
288,Miguel Cabrera,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Daniel Murphy,Bryce Harper,109.422916667,49600.0,405.565387977,20.1386540756
289,Troy Tulowitzki,Miguel Sano,Brian McCann,Rich Hill,Mark Reynolds,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.421916667,49700.0,353.353343149,18.7976951552
290,Edwin Encarnacion,Victor Martinez,Jurickson Profar,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.421583333,49900.0,268.883643649,16.3976718972
291,Miguel Cabrera,Victor Martinez,Miguel Sano,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,Drew Pomeranz,Bryce Harper,109.418583333,49500.0,341.292892443,18.4741141179
292,Edwin Encarnacion,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.41825,50000.0,336.869667301,18.3540095702
293,Troy Tulowitzki,Edwin Encarnacion,Victor Martinez,Rougned Odor,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.417583333,49900.0,303.344796332,17.4167963854
294,Brian Dozier,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.41525,49700.0,305.610775582,17.481726905
295,Miguel Cabrera,Victor Martinez,Josh Reddick,Carlos Correa,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.414916667,49200.0,215.757861033,14.6886984118
296,Miguel Cabrera,Brian McCann,Jason Kipnis,Rich Hill,Odubel Herrera,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.413916667,49600.0,270.070336524,16.4338168581
297,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Cameron Rupp,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.413583333,48600.0,235.908324209,15.3593074131
298,Russell Martin,Miguel Cabrera,Jason Kipnis,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.412583333,48200.0,177.151029066,13.3098095053
299,Miguel Cabrera,Brian McCann,Jed Lowrie,Rich Hill,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.408583333,49300.0,300.105617529,17.3235567228
300,Edwin Encarnacion,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.407916667,49700.0,340.372507439,18.4491871756
301,Ian Kinsler,Carlos Santana,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.406916667,49700.0,273.737820641,16.5450240447
302,Jason Kipnis,Josh Reddick,Rich Hill,Mark Reynolds,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.40525,48700.0,326.727413817,18.0756027235
303,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Jose Altuve,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.40425,48500.0,233.118031166,15.2682032724
304,Brian McCann,Jason Kipnis,Khris Davis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.403916667,49000.0,327.863216862,18.1069935898
305,Miguel Cabrera,Nomar Mazara,Brian McCann,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.402916667,49100.0,220.158352018,14.8377340594
306,Miguel Cabrera,Khris Davis,Rich Hill,Nick Hundley,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.402583333,49300.0,313.804842649,17.7145376075
307,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.401583333,48800.0,340.742324409,18.4592070363
308,Russell Martin,Miguel Cabrera,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.400916667,48700.0,329.923938716,18.163808486
309,Edwin Encarnacion,Brian McCann,Jed Lowrie,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.400583333,48900.0,308.245382006,17.5569183516
310,Shin-Soo Choo,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.399916667,49700.0,335.794200315,18.3246882733
311,Miguel Cabrera,Jose Altuve,Stephen Vogt,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.397916667,49100.0,217.92053977,14.7621319521
312,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,George Springer,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.397583333,49700.0,251.827627955,15.8690777286
313,Rougned Odor,Brian McCann,George Springer,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.39525,49400.0,225.32520099,15.010836119
314,Carlos Santana,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.394916667,49100.0,345.923776507,18.5990262247
315,Miguel Cabrera,Victor Martinez,Jason Kipnis,Jacoby Ellsbury,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.39425,48900.0,278.566253319,16.690304171
316,Justin Upton,Miguel Cabrera,Victor Martinez,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.393583333,49500.0,309.247293332,17.5854284376
317,Steven Moya,Edwin Encarnacion,Victor Martinez,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.39325,49500.0,286.535722342,16.9273660781
318,Troy Tulowitzki,Edwin Encarnacion,Shin-Soo Choo,Brian McCann,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.39225,49700.0,290.273238013,17.0374070214
319,Russell Martin,Miguel Cabrera,Shin-Soo Choo,Jose Altuve,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.38925,50000.0,204.098256942,14.286296124
320,Miguel Cabrera,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Wilson Ramos,Bryce Harper,109.387916667,49500.0,385.646102526,19.6378741855
321,Carlos Santana,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.386916667,49000.0,317.014737503,17.8049076803
322,Miguel Cabrera,Francisco Lindor,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.385916667,48300.0,261.948570079,16.1848253027
323,Victor Martinez,Carlos Santana,Jason Kipnis,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.384583333,50000.0,287.929646761,16.9684898197
324,Miguel Cabrera,Miguel Sano,Evan Gattis,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.383583333,49400.0,220.771713961,14.8583886731
325,Miguel Cabrera,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Wilson Ramos,Bryce Harper,109.38325,49000.0,371.961691234,19.2863083879
326,Carlos Santana,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.382916667,49900.0,219.888258009,14.828629674
327,Miguel Cabrera,Ian Desmond,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.381916667,49400.0,293.947094533,17.1448853753
328,Steven Moya,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.380916667,48500.0,322.573539614,17.9603323915
329,Victor Martinez,Carlos Beltran,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.38025,49900.0,275.023975671,16.5838468297
330,Troy Tulowitzki,Miguel Cabrera,Brian McCann,George Springer,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.379583333,48400.0,238.622308515,15.4474045883
331,Russell Martin,Ian Kinsler,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.37925,48900.0,279.859069524,16.7289888972
332,Troy Tulowitzki,Miguel Cabrera,Miguel Sano,Rich Hill,Nick Hundley,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.378916667,49500.0,328.900825287,18.1356231017
333,Miguel Cabrera,Jose Altuve,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.37825,49500.0,155.264013306,12.4604981163
334,Miguel Cabrera,Jurickson Profar,Shin-Soo Choo,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.376916667,49200.0,287.064902469,16.9429897736
335,Russell Martin,Edwin Encarnacion,Rougned Odor,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.37525,49300.0,315.656480283,17.7667239604
336,Steven Moya,Miguel Cabrera,Victor Martinez,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.373916667,49000.0,322.927506425,17.9701838172
337,Miguel Cabrera,Victor Martinez,Jed Lowrie,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.373583333,49200.0,205.82724216,14.3466805276
338,Miguel Cabrera,Victor Martinez,Jason Kipnis,Josh Reddick,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.37325,48700.0,186.18700409,13.6450358772
339,Troy Tulowitzki,Miguel Cabrera,Rougned Odor,Shin-Soo Choo,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.372916667,49200.0,307.22504566,17.5278363086
340,Miguel Cabrera,Brian Dozier,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.37225,49500.0,271.162186319,16.467002955
341,Edwin Encarnacion,Jason Kipnis,George Springer,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.371583333,49700.0,197.657122764,14.0590583883
342,Miguel Cabrera,Brian Dozier,Brian McCann,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.370916667,49800.0,287.959325943,16.9693643353
343,Miguel Cabrera,Miguel Sano,Brian McCann,Carlos Correa,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.369583333,50000.0,220.498289998,14.849184826
344,Troy Tulowitzki,Victor Martinez,Josh Reddick,Rich Hill,Mark Reynolds,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.36825,49300.0,336.976535746,18.3569206499
345,Victor Martinez,Nomar Mazara,Rich Hill,Mark Reynolds,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.366916667,49900.0,313.852978338,17.7158962048
346,Miguel Cabrera,Rougned Odor,Shin-Soo Choo,Stephen Vogt,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.366583333,49800.0,294.374718252,17.1573517261
347,Edwin Encarnacion,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.36625,49200.0,294.342801902,17.1564215937
348,Russell Martin,Edwin Encarnacion,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.365583333,50000.0,338.708042493,18.4040224542
349,Miguel Cabrera,Rougned Odor,Brian McCann,Rich Hill,Cody Asche,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.36525,49300.0,294.664118963,17.1657833775
350,Steven Moya,Miguel Cabrera,Victor Martinez,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.36425,49700.0,338.551412661,18.3997666469
351,Troy Tulowitzki,Miguel Cabrera,Shin-Soo Choo,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.36325,49900.0,311.944043293,17.6619376993
352,Miguel Cabrera,Jason Kipnis,Khris Davis,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.360916667,48800.0,292.090145216,17.090644962
353,Russell Martin,Miguel Cabrera,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.35925,48200.0,289.185294644,17.0054489692
354,Ian Kinsler,Miguel Cabrera,Carlos Beltran,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.35825,49700.0,309.661737947,17.597208243
355,Miguel Cabrera,Josh Reddick,Rich Hill,Cameron Rupp,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.35625,49500.0,262.832442262,16.2121078908
356,Miguel Cabrera,Brian McCann,Rich Hill,Cody Asche,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.355583333,50000.0,299.229082209,17.2982392806
357,Miguel Cabrera,Victor Martinez,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Neil Walker,Bryce Harper,109.35525,49700.0,322.279081084,17.9521330511
358,Carlos Santana,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.35325,48600.0,301.501015506,17.3637845963
359,Miguel Cabrera,Rougned Odor,George Springer,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.35225,49200.0,208.649794788,14.4447151162
360,Justin Upton,Miguel Cabrera,Victor Martinez,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.351916667,49000.0,316.322222709,17.7854497472
361,Josh Reddick,Rich Hill,Mark Reynolds,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.347916667,49600.0,403.293073939,20.0821580996
362,Troy Tulowitzki,Miguel Cabrera,Miguel Sano,Brian Dozier,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.34725,50000.0,317.927295521,17.8305158512
363,Miguel Cabrera,Rougned Odor,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Jayson Werth,Bryce Harper,109.346916667,48700.0,315.013219841,17.7486117722
364,Brian McCann,Khris Davis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.346583333,49900.0,373.668323155,19.3305024031
365,Miguel Cabrera,Carlos Beltran,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.34625,49100.0,312.626695524,17.6812526571
366,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Daniel Murphy,Bryce Harper,109.34425,49700.0,404.667588688,20.1163512767
367,Miguel Cabrera,George Springer,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.342583333,49900.0,238.147306661,15.4320221183
