,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Points,salary,variance,stdev
43,Miguel Cabrera,Victor Martinez,Jason Kipnis,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.95525,49500.0,297.747736813,17.2553683477
44,Miguel Cabrera,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.953583333,49400.0,218.258862011,14.7735866333
45,Miguel Cabrera,Victor Martinez,Rougned Odor,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.946583333,49900.0,216.801820886,14.7241916887
46,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Miguel Sano,Jason Kipnis,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.931583333,49700.0,316.529655574,17.7912803242
47,Russell Martin,Miguel Cabrera,Miguel Sano,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.930916667,49600.0,292.256404592,17.0955083163
48,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.92425,49000.0,348.937787964,18.6798765511
49,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.923916667,48100.0,273.624815017,16.5416085982
50,Miguel Sano,Carlos Santana,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.916916667,49900.0,307.461064211,17.5345676939
51,Miguel Cabrera,Rougned Odor,Miguel Sano,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.91325,49900.0,315.319911938,17.7572495601
52,Victor Martinez,Carlos Santana,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.904916667,50000.0,264.544821931,16.2648339042
53,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Daniel Murphy,Bryce Harper,109.90025,49400.0,385.302888366,19.6291336632
54,Miguel Cabrera,Victor Martinez,Rougned Odor,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.89325,49900.0,336.473575938,18.343216074
55,Edwin Encarnacion,Brian McCann,George Springer,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.890583333,50000.0,207.697235268,14.4117048009
56,Russell Martin,Miguel Cabrera,Miguel Sano,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.88925,49100.0,292.7831957,17.1109086755
57,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.882583333,48500.0,310.546161244,17.6223199734
58,Miguel Cabrera,Josh Reddick,Rich Hill,Nick Hundley,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.88125,48800.0,306.377101779,17.5036311027
59,Miguel Cabrera,Brian McCann,Khris Davis,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.879916667,49100.0,293.836054319,17.1416467797
60,Miguel Cabrera,Shin-Soo Choo,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.875916667,49800.0,318.346526935,17.8422679874
61,Miguel Cabrera,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Wilson Ramos,Bryce Harper,109.866583333,49000.0,373.214405672,19.3187578708
62,Victor Martinez,Carlos Santana,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.86325,49500.0,275.822860788,16.6079156064
63,Miguel Cabrera,Victor Martinez,Carlos Beltran,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.85625,50000.0,269.70822262,16.4227958223
64,Miguel Cabrera,Miguel Sano,Stephen Vogt,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.849916667,49900.0,290.583241804,17.0465023334
65,Miguel Cabrera,Brian Dozier,Brian McCann,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.849583333,49300.0,276.577890198,16.6306310824
66,Edwin Encarnacion,Brian McCann,Jason Kipnis,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.848916667,49500.0,192.658829089,13.8801595484
67,Miguel Cabrera,Jason Kipnis,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.839583333,48300.0,273.290524298,16.5315009693
68,Miguel Cabrera,Brian McCann,Jason Kipnis,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.83825,48600.0,284.783343816,16.8755249938
69,Edwin Encarnacion,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.83725,50000.0,346.933834104,18.6261599398
70,Miguel Cabrera,Shin-Soo Choo,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.83425,49300.0,279.063754819,16.7052014301
71,Russell Martin,Miguel Cabrera,Miguel Sano,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.831916667,50000.0,310.590578272,17.6235801775
72,Miguel Cabrera,Rougned Odor,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.829583333,49000.0,206.561291043,14.3722402931
73,Brian McCann,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.82525,49400.0,361.913670649,19.0240287702
74,Miguel Cabrera,Brian McCann,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Robinson Cano,Bryce Harper,109.819916667,49700.0,220.214776204,14.8396353124
75,Victor Martinez,Rougned Odor,Josh Reddick,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.81825,49900.0,302.845004102,17.4024424752
76,Miguel Cabrera,Ian Desmond,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.816583333,49900.0,295.337755086,17.1853936553
77,Miguel Cabrera,Victor Martinez,Carlos Beltran,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.814583333,49500.0,273.474671392,16.5370696132
78,Miguel Cabrera,Rich Hill,DJ LeMahieu,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.811583333,50000.0,372.871687432,19.3098857436
79,Miguel Cabrera,Miguel Sano,Jason Kipnis,Stephen Vogt,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.80825,49400.0,289.055844183,17.0016423966
80,Edwin Encarnacion,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.803583333,49600.0,352.460770104,18.773938588
81,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Josh Reddick,Rich Hill,DJ LeMahieu,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.802583333,48900.0,324.188982629,18.0052487522
82,Miguel Cabrera,Victor Martinez,Nomar Mazara,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.80125,49500.0,285.618002346,16.9002367542
83,Edwin Encarnacion,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.795583333,49500.0,300.904128566,17.3465883841
84,Shin-Soo Choo,Brian McCann,Jason Kipnis,Rich Hill,Mark Reynolds,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.792916667,49700.0,308.323430534,17.5591409395
85,Miguel Cabrera,Shin-Soo Choo,Rich Hill,Nick Hundley,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.791583333,50000.0,298.286617107,17.2709761481
86,Carlos Santana,Brian McCann,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.787916667,49100.0,302.014872414,17.3785750973
87,Miguel Cabrera,Josh Reddick,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.78225,49200.0,331.830547208,18.2162165997
88,Miguel Cabrera,Brian McCann,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.780916667,49500.0,318.090547661,17.8350931498
89,Miguel Cabrera,Rougned Odor,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Bryce Harper,109.77625,49000.0,322.65274057,17.9625371418
90,Miguel Cabrera,Ian Desmond,Brian McCann,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.774916667,49400.0,296.942185407,17.2320104865
91,Miguel Cabrera,Victor Martinez,Rougned Odor,Khris Davis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.773916667,50000.0,311.705262277,17.6551766425
92,Miguel Cabrera,Brian McCann,Jose Altuve,George Springer,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.77125,49500.0,138.171779694,11.7546492799
93,Miguel Cabrera,Jason Kipnis,Rich Hill,Trevor Story,Charlie Blackmon,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.769916667,49500.0,311.824492145,17.658552946
94,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Nelson Cruz,Robinson Cano,Bryce Harper,109.766583333,49700.0,387.25880256,19.6788923103
95,Edwin Encarnacion,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.761916667,49100.0,293.313074126,17.1263853199
96,Troy Tulowitzki,Miguel Cabrera,Victor Martinez,Jason Kipnis,Josh Reddick,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.760916667,48400.0,299.92425573,17.3183213889
97,Russell Martin,Miguel Cabrera,Josh Reddick,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.76025,48300.0,268.218921164,16.3773905481
98,Miguel Cabrera,Victor Martinez,Nomar Mazara,Jason Kipnis,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.759583333,49000.0,298.920243049,17.2893100802
99,Troy Tulowitzki,Miguel Cabrera,Miguel Sano,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Daniel Murphy,Bryce Harper,109.75725,49700.0,335.784459454,18.3244224862
100,Miguel Cabrera,Shin-Soo Choo,Jason Kipnis,Rich Hill,Nick Hundley,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.749916667,49500.0,277.9751965,16.6725881764
101,Carlos Santana,Brian McCann,Jason Kipnis,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.74625,48600.0,300.620785007,17.3384193342
102,Miguel Cabrera,Rougned Odor,Josh Reddick,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Wilson Ramos,Bryce Harper,109.742583333,48600.0,295.742366357,17.1971615785
103,Miguel Cabrera,Carlos Beltran,Brian McCann,Rich Hill,DJ LeMahieu,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.73925,49100.0,291.611760355,17.0766437087
104,Miguel Cabrera,Miguel Sano,Brian McCann,Jed Lowrie,Rich Hill,Trevor Story,Carlos Gonzalez,Nolan Arenado,Drew Pomeranz,Bryce Harper,109.73325,49200.0,306.94966619,17.5199790579
