Mike Napoli,1B,BOS,RIGHT
Mitch Moreland,1B,TEX,LEFT
Nate Freiman,1B,OAK,RIGHT
Nelson Cruz,1B,SEA,RIGHT
Nick Evans,1B,ARI,RIGHT
Nick Swisher,1B,CLE,SWITCH
Paul Goldschmidt,1B,ARI,RIGHT
Prince Fielder,1B,TEX,LEFT
Ryan Howard,1B,PHI,LEFT
Ryan Raburn,1B,CLE,RIGHT
Stephen Vogt,1B,OAK,LEFT
Steve Pearce,1B,BAL,RIGHT
Tommy Medica,1B,SDP,RIGHT
Travis Ishikawa,1B,SFG,LEFT
Tyler Moore,1B,WAS,RIGHT
Victor Martinez,1B,DET,SWITCH
Yonder Alonso,1B,SDP,LEFT
Aaron Hill,2B,ARI,RIGHT
Alberto Callaspo,2B,ATL,SWITCH
Alex Guerrero,2B,LAD,RIGHT
Asdrubal Cabrera,2B,TBR,SWITCH
Ben Zobrist,2B,OAK,SWITCH
Brandon Hicks,2B,SFG,RIGHT
Brandon Phillips,2B,CIN,RIGHT
Brian Dozier,2B,MIN,RIGHT
Chase Utley,2B,PHI,LEFT
Cole Figueroa,2B,NYY,LEFT
Dan Uggla,2B,WAS,RIGHT
Daniel Murphy,2B,NYM,LEFT
Danny Espinosa,2B,WAS,SWITCH
Danny Worth,2B,ARI,RIGHT
Darwin Barney,2B,LAD,RIGHT
Dee Gordon,2B,MIA,LEFT
Derek Dietrich,2B,MIA,LEFT
Devon Travis,2B,TOR,RIGHT
DJ LeMahieu,2B,COL,RIGHT
Donovan Solano,2B,MIA,RIGHT
Dustin Pedroia,2B,BOS,RIGHT
Ed Lucas,2B,TEX,RIGHT
Ehire Adrianza,2B,SFG,SWITCH
Elliot Johnson,2B,TEX,SWITCH
Eric Sogard,2B,OAK,LEFT
Gordon Beckham,2B,CWS,RIGHT
Greg Garcia,2B,STL,RIGHT
Gregorio Petit,2B,NYY,RIGHT
Hector Gomez,2B,MIL,RIGHT
Howie Kendrick,2B,LAD,RIGHT
Ian Kinsler,2B,DET,RIGHT
Jace Peterson,2B,ATL,LEFT
Jason Kipnis,2B,CLE,LEFT
Javier Baez,2B,CHC,RIGHT
Jedd Gyorko,2B,SDP,RIGHT
Jemile Weeks,2B,BOS,SWITCH
Joe Panik,2B,SFG,RIGHT
Johnny Giavotella,2B,LAA,RIGHT
Jonathan Schoop,2B,BAL,RIGHT
Jordany Valdespin,2B,MIA,LEFT
Jose Altuve,2B,HOU,RIGHT
Josh Wilson,2B,DET,RIGHT
Juan Perez,2B,CIN,RIGHT
Juan Perez,2B,CIN,RIGHT
Kolten Wong,2B,STL,LEFT
Kris Negron,2B,CIN,RIGHT
Leury Garcia,2B,CWS,SWITCH
Logan Forsythe,2B,TBR,RIGHT
Luis Sardinas,2B,MIL,SWITCH
Maicer Izturis,2B,TOR,SWITCH
Martin Prado,2B,MIA,RIGHT
Micah Johnson,2B,CWS,LEFT
Munenori Kawasaki,2B,TOR,LEFT
Neil Walker,2B,PIT,SWITCH
Nick Punto,2B,ARI,SWITCH
Omar Infante,2B,KCR,RIGHT
Pedro Ciriaco,2B,ATL,RIGHT
Phil Gosselin,2B,ATL,RIGHT
Ramiro Pena,2B,SDP,SWITCH
Rickie Weeks,2B,SEA,RIGHT
Robinson Cano,2B,SEA,LEFT
Rougned Odor,2B,TEX,LEFT
Ryan Goins,2B,TOR,LEFT
Scooter Gennett,2B,MIL,LEFT
Sean Rodriguez,2B,PIT,RIGHT
Stephen Drew,2B,NYY,LEFT
Steve Lombardozzi,2B,PIT,SWITCH
Steve Tolleson,2B,TOR,RIGHT
Tommy La Stella,2B,CHC,LEFT
Tyler Ladendorf,2B,CWS,RIGHT
Tyler Pastornicky,2B,ATL,RIGHT
Adrian Beltre,3B,TEX,RIGHT
Alex Rodriguez,3B,NYY,RIGHT
Anthony Rendon,3B,WAS,RIGHT
Aramis Ramirez,3B,MIL,RIGHT
Brent Morel,3B,PIT,RIGHT
Brett Lawrie,3B,OAK,RIGHT
Brock Holt,3B,BOS,LEFT
Casey McGehee,3B,SFG,RIGHT
Cesar Hernandez,3B,PHI,SWITCH
Charlie Culberson,3B,COL,RIGHT
Chase Headley,3B,NYY,SWITCH
Chris Johnson,3B,ATL,RIGHT
Chris Nelson,3B,PHI,RIGHT
Cody Asche,3B,PHI,LEFT
Conor Gillaspie,3B,CWS,LEFT
Danny Valencia,3B,TOR,RIGHT
David Freese,3B,LAA,RIGHT
David Wright,3B,NYM,RIGHT
Dayan Viciedo,3B,TOR,RIGHT
Evan Longoria,3B,TBR,RIGHT
Freddy Galvis,3B,PHI,SWITCH
Ian Stewart,3B,WAS,LEFT
Jake Lamb,3B,ARI,LEFT
Jimmy Paredes,3B,BAL,SWITCH
Joaquin Arias,3B,SFG,RIGHT
Josh Donaldson,3B,TOR,RIGHT
Josh Harrison,3B,PIT,RIGHT
Juan Francisco,3B,TBR,LEFT
Juan Uribe,3B,LAD,RIGHT
Justin Turner,3B,LAD,RIGHT
Kelly Johnson,3B,ATL,LEFT
Kevin Kouzmanoff,3B,TEX,RIGHT
Kyle Seager,3B,SEA,LEFT
Lonnie Chisenhall,3B,CLE,LEFT
Luis Jimenez,3B,MIL,RIGHT
Luis Valbuena,3B,HOU,LEFT
Manny Machado,3B,BAL,RIGHT
Marcus Semien,3B,OAK,RIGHT
Matt Carpenter,3B,STL,LEFT
Matt Dominguez,3B,HOU,RIGHT
Mike Aviles,3B,CLE,RIGHT
Mike Moustakas,3B,KCR,LEFT
Mike Olt,3B,CHC,RIGHT
Nick Castellanos,3B,DET,RIGHT
Nolan Arenado,3B,COL,RIGHT
Pablo Sandoval,3B,BOS,SWITCH
Pedro Alvarez,3B,PIT,LEFT
Ramon Santiago,3B,TOR,SWITCH
Ryan Flaherty,3B,BAL,LEFT
Ryan Roberts,3B,KCR,RIGHT
Ryan Wheeler,3B,LAA,LEFT
Todd Frazier,3B,CIN,RIGHT
Trevor Plouffe,3B,MIN,RIGHT
Will Middlebrooks,3B,SDP,RIGHT
Yangervis Solarte,3B,SDP,SWITCH
Adam Rosales,SS,TEX,LEFT
Adeiny Hechavarria,SS,MIA,RIGHT
Alcides Escobar,SS,KCR,RIGHT
Alexei Ramirez,SS,CWS,RIGHT
Alexi Amarista,SS,SDP,LEFT
Andrelton Simmons,SS,ATL,RIGHT
Andres Blanco,SS,PHI,SWITCH
Andrew Romine,SS,DET,LEFT
Brad Miller,SS,SEA,LEFT
Brandon Crawford,SS,SFG,LEFT
Brendan Ryan,SS,NYY,RIGHT
Carlos Sanchez,SS,CWS,SWITCH
Carlos Triunfel,SS,SFG,RIGHT
Chris Owings,SS,ARI,RIGHT
Cliff Pennington,SS,ARI,SWITCH
Clint Barmes,SS,SDP,RIGHT
Daniel Descalso,SS,COL,LEFT
Dean Anna,SS,STL,LEFT
Didi Gregorius,SS,NYY,LEFT
Donnie Murphy,SS,MIL,RIGHT
Eduardo Escobar,SS,MIN,SWITCH
Eduardo Nunez,SS,MIN,RIGHT
Elvis Andrus,SS,TEX,RIGHT
Erick Aybar,SS,LAA,SWITCH
Eugenio Suarez,SS,CIN,RIGHT
Everth Cabrera,SS,BAL,SWITCH
Hanley Ramirez,SS,BOS,RIGHT
Ian Desmond,SS,WAS,RIGHT
J.J. Hardy,SS,BAL,RIGHT
Jayson Nix,SS,BAL,RIGHT
Jean Segura,SS,MIL,RIGHT
Jed Lowrie,SS,HOU,SWITCH
Jeff Bianchi,SS,BOS,RIGHT
Jhonny Peralta,SS,STL,RIGHT
Jimmy Rollins,SS,LAD,SWITCH
Jonathan Diaz,SS,TOR,RIGHT
Jonathan Herrera,SS,CHC,SWITCH
Jonathan Villar,SS,HOU,SWITCH
Jordy Mercer,SS,PIT,RIGHT
Jose Ramirez,SS,CLE,SWITCH
Jose Reyes,SS,TOR,SWITCH
Josh Rutledge,SS,LAA,RIGHT
Jung Ho Kang,SS,PIT,RIGHT
Marwin Gonzalez,SS,HOU,SWITCH
Miguel Rojas,SS,MIA,RIGHT
Nick Ahmed,SS,ARI,RIGHT
Nick Franklin,SS,TBR,SWITCH
Omar Quintanilla,SS,COL,LEFT
Pedro Florimon,SS,PIT,SWITCH
Pete Kozma,SS,STL,RIGHT
Ruben Tejada,SS,NYM,RIGHT
Scott Sizemore,SS,MIA,RIGHT
Starlin Castro,SS,CHC,RIGHT
Troy Tulowitzki,SS,COL,RIGHT
Willie Bloomquist,SS,SEA,RIGHT
Wilmer Flores,SS,NYM,RIGHT
Xander Bogaerts,SS,BOS,RIGHT
Yunel Escobar,SS,WAS,RIGHT
Zack Cozart,SS,CIN,RIGHT
A.J. Pollock,OF,ARI,RIGHT
Aaron Hicks,OF,MIN,SWITCH
Abraham Almonte,OF,SDP,SWITCH
Adam Eaton,OF,CWS,LEFT
Adam Jones,OF,BAL,RIGHT
Alejandro De Aza,OF,BAL,LEFT
Alex Gordon,OF,KCR,LEFT
Alex Hassan,OF,OAK,RIGHT
Alex Presley,OF,HOU,LEFT
Alex Rios,OF,KCR,RIGHT
Alfredo Marte,OF,LAA,RIGHT
Allen Craig,OF,BOS,RIGHT
Andre Ethier,OF,LAD,LEFT
Andrew Lambo,OF,PIT,LEFT
Andrew McCutchen,OF,PIT,RIGHT
Angel Pagan,OF,SFG,SWITCH
Anthony Gose,OF,DET,RIGHT
Arismendy Alcantara,OF,CHC,SWITCH
Austin Jackson,OF,SEA,RIGHT
Avisail Garcia,OF,CWS,RIGHT
Ben Revere,OF,PHI,LEFT
Billy Hamilton,OF,CIN,SWITCH
Bobby Abreu,OF,NYM,LEFT
Brandon Barnes,OF,COL,RIGHT
Brandon Guyer,OF,TBR,RIGHT
Brennan Boesch,OF,CIN,LEFT
Brett Gardner,OF,NYY,LEFT
Bryce Harper,OF,WAS,LEFT
Caleb Gindl,OF,TOR,LEFT
Cameron Maybin,OF,ATL,RIGHT
Carl Crawford,OF,LAD,LEFT
Carlos Gomez,OF,MIL,RIGHT
Carlos Gonzalez,OF,COL,LEFT
Carlos Peguero,OF,TEX,LEFT
Carlos Quentin,OF,SDP,RIGHT
Charlie Blackmon,OF,COL,LEFT
Chris Carter,OF,TBR,RIGHT
Chris Coghlan,OF,CHC,LEFT
Chris Denorfia,OF,CHC,RIGHT
Chris Dickerson,OF,TOR,LEFT
Chris Heisey,OF,LAD,RIGHT
Chris Young,OF,NYY,RIGHT
Christian Yelich,OF,MIA,LEFT
Coco Crisp,OF,OAK,SWITCH
Cody Ross,OF,OAK,RIGHT
Colby Rasmus,OF,HOU,LEFT
Cole Gillespie,OF,MIA,RIGHT
Collin Cowgill,OF,LAA,RIGHT
Corey Dickerson,OF,COL,LEFT
Craig Gentry,OF,OAK,RIGHT
Curtis Granderson,OF,NYM,LEFT
Dalton Pompey,OF,TOR,RIGHT
Daniel Nava,OF,BOS,SWITCH
Danny Santana,OF,MIN,SWITCH
Darin Mastroianni,OF,PHI,RIGHT
David Lough,OF,BAL,LEFT
David Murphy,OF,CLE,LEFT
David Peralta,OF,ARI,LEFT
Denard Span,OF,WAS,LEFT
Desmond Jennings,OF,TBR,RIGHT
Dexter Fowler,OF,CHC,SWITCH
Domingo Santana,OF,HOU,RIGHT
Domonic Brown,OF,PHI,LEFT
Don Kelly,OF,MIA,LEFT
Donald Lutz,OF,CIN,LEFT
Drew Stubbs,OF,COL,RIGHT
Dustin Ackley,OF,SEA,LEFT
Elian Herrera,OF,MIL,RIGHT
Emilio Bonifacio,OF,CWS,SWITCH
Ender Inciarte,OF,ARI,LEFT
Endy Chavez,OF,SEA,LEFT
Enrique Hernandez,OF,LAD,RIGHT
Eric Campbell,OF,NYM,RIGHT
Eric Young,OF,ATL,SWITCH
Ezequiel Carrera,OF,TOR,LEFT
George Springer,OF,HOU,RIGHT
Gerardo Parra,OF,MIL,LEFT
Giancarlo Stanton,OF,MIA,RIGHT
Grady Sizemore,OF,PHI,LEFT
Grant Green,OF,LAA,RIGHT
Gregor Blanco,OF,SFG,LEFT
Gregory Polanco,OF,PIT,LEFT
Hunter Pence,OF,SFG,RIGHT
Ichiro Suzuki,OF,MIA,LEFT
J.B. Shuck,OF,CWS,LEFT
J.D. Martinez,OF,DET,RIGHT
Jackie Bradley,OF,BOS,LEFT
Jacoby Ellsbury,OF,NYY,LEFT
Jake Marisnick,OF,HOU,RIGHT
Jake Smolinski,OF,TEX,RIGHT
James Jones,OF,SEA,LEFT
Jamie Romak,OF,ARI,RIGHT
Jarrod Dyson,OF,KCR,LEFT
Jason Heyward,OF,STL,LEFT
Jay Bruce,OF,CIN,LEFT
Jayson Werth,OF,WAS,RIGHT
Jeff Francoeur,OF,PHI,RIGHT
Jerry Sands,OF,CLE,RIGHT
Jim Adduci,OF,TEX,LEFT
Joc Pederson,OF,LAD,LEFT
Jon Jay,OF,STL,LEFT
Jonny Gomes,OF,ATL,RIGHT
Jordan Danks,OF,PHI,LEFT
Jordan Schafer,OF,MIN,LEFT
Jorge Soler,OF,CHC,RIGHT
Jose Bautista,OF,TOR,RIGHT
Jose Tabata,OF,PIT,RIGHT
Josh Hamilton,OF,TEX,LEFT
Josh Reddick,OF,OAK,LEFT
Juan Lagares,OF,NYM,RIGHT
Juan Perez,OF,SFG,RIGHT
Junior Lake,OF,CHC,RIGHT
Justin Maxwell,OF,SFG,RIGHT
Justin Ruggiano,OF,SEA,RIGHT
Justin Upton,OF,SDP,RIGHT
Kevin Frandsen,OF,WAS,RIGHT
Kevin Kiermaier,OF,TBR,LEFT
Kevin Pillar,OF,TOR,RIGHT
Khris Davis,OF,MIL,RIGHT
Kirk Nieuwenhuis,OF,NYM,LEFT
Kole Calhoun,OF,LAA,LEFT
L.J. Hoes,OF,HOU,RIGHT
Leonys Martin,OF,TEX,LEFT
Logan Schafer,OF,MIL,LEFT
Lorenzo Cain,OF,KCR,RIGHT
Marcell Ozuna,OF,MIA,RIGHT
Mark Trumbo,OF,ARI,RIGHT
Marlon Byrd,OF,CIN,RIGHT
Matt den Dekker,OF,NYM,LEFT
Matt Holliday,OF,STL,RIGHT
Matt Joyce,OF,LAA,LEFT
Matt Kemp,OF,SDP,RIGHT
Melky Cabrera,OF,CWS,SWITCH
Michael Bourn,OF,CLE,LEFT
Michael Brantley,OF,CLE,LEFT
Michael Choice,OF,TEX,LEFT
Michael Cuddyer,OF,NYM,RIGHT
Michael Morse,OF,MIA,RIGHT
Michael Saunders,OF,TOR,LEFT
Michael Taylor,OF,WAS,RIGHT
Mike Baxter,OF,CHC,LEFT
Mike Trout,OF,LAA,RIGHT
Moises Sierra,OF,KCR,RIGHT
Mookie Betts,OF,BOS,RIGHT
Nate McLouth,OF,WAS,LEFT
Nate Schierholtz,OF,TEX,LEFT
Nick Markakis,OF,ATL,LEFT
Nolan Reimold,OF,BAL,RIGHT
Norichika Aoki,OF,SFG,LEFT
Odubel Herrera,OF,PHI,LEFT
Oswaldo Arcia,OF,MIN,LEFT
Peter Bourjos,OF,STL,RIGHT
Rajai Davis,OF,DET,RIGHT
Randal Grichuk,OF,STL,RIGHT
Reed Johnson,OF,WAS,RIGHT
Robbie Grossman,OF,HOU,SWITCH
Roger Bernadina,OF,COL,LEFT
Roger Kieschnick,OF,LAA,LEFT
Ryan Braun,OF,MIL,RIGHT
Ryan Kalish,OF,TOR,LEFT
Ryan Ludwick,OF,TEX,RIGHT
Ryan Sweeney,OF,CHC,RIGHT
Ryan Zimmerman,OF,WAS,RIGHT
Rymer Liriano,OF,SDP,RIGHT
Sam Fuld,OF,OAK,LEFT
Scott Van Slyke,OF,LAD,RIGHT
Seth Smith,OF,SEA,LEFT
Shane Robinson,OF,MIN,RIGHT
Shane Victorino,OF,BOS,SWITCH
Shin-Soo Choo,OF,TEX,LEFT
Skip Schumaker,OF,CIN,LEFT
Starling Marte,OF,PIT,RIGHT
Stefen Romero,OF,SEA,RIGHT
Steven Souza,OF,TBR,RIGHT
Tony Campana,OF,CWS,LEFT
Tony Gwynn,OF,WAS,LEFT
Torii Hunter,OF,MIN,RIGHT
Travis Snider,OF,BAL,LEFT
Tyler Collins,OF,DET,LEFT
Tyler Colvin,OF,MIA,LEFT
Wil Myers,OF,SDP,RIGHT
Will Venable,OF,SDP,LEFT
Yasiel Puig,OF,LAD,RIGHT
Yoenis Cespedes,OF,DET,RIGHT
Zach Walters,OF,CLE,SWITCH
James McCann,C,DET,RIGHT
Jose Iglesias,SS,DET,RIGHT
Roberto Perez,C,CLE,RIGHT
Clint Robinson,OF,WAS,LEFT
Tim Beckham,SS,TBR,RIGHT
J.T. Realmuto,C,MIA,RIGHT
Melvin Upton,OF,SDP,RIGHT
Kris Bryant,3B,CHC,RIGHT
Paulo Orlando,OF,KCR,RIGHT
Ryan Lavarnway,C,BAL,RIGHT
Christian Colon,2B,KCR,RIGHT
Addison Russell,SS,CHC,RIGHT
Kevin Plawecki,C,NYM,RIGHT
Ryan Brett,2B,TBR,RIGHT
Yasmany Tomas,3B,ARI,RIGHT
Jason Rogers,3B,MIL,RIGHT
Rafael Ynoa,3B,COL,SWITCH
Andrew Susac,C,SFG,RIGHT
Hernan Perez,SS,DET,RIGHT
Rey Navarro,2B,BAL,SWITCH
Max Muncy,3B,OAK,LEFT
Jake Elmore,2B,TBR,RIGHT
Dilson Herrera,2B,NYM,RIGHT
Billy Burns,OF,OAK,SWITCH
Reid Brignac,3B,MIA,LEFT
Jhonatan Solano,C,MIA,RIGHT
Joey Butler,1B,TBR,RIGHT
Blake Swihart,C,BOS,RIGHT
Delino DeShields,OF,TEX,RIGHT
Jose Pirela,2B,NYY,RIGHT
Eddie Rosario,OF,MIN,LEFT
Carlos Perez,C,LAA,RIGHT
Travis Shaw,1B,BOS,LEFT
Cory Spangenberg,2B,SDP,LEFT
Preston Tucker,OF,HOU,LEFT
Thomas Field,2B,TEX,RIGHT
Maikel Franco,OF,PHI,RIGHT
Todd Cunningham,OF,ATL,SWITCH
Johnny Monell,C,NYM,LEFT
