name,pos,mean,cost,team
James McCann,C,3.63566666667,2100.0,DET
Justin Upton,OF,5.69066666667,2700.0,DET
Michael Saunders,OF,5.529,3500.0,TOR
Russell Martin,C,5.681,2700.0,TOR
Troy Tulowitzki,SS,5.91066666667,2600.0,TOR
Steven Moya,OF,5.894,2200.0,DET
Edwin Encarnacion,1B,7.70266666667,4300.0,TOR
Josh Donaldson,3B,7.383,4600.0,TOR
Darwin Barney,SS,3.68566666667,2400.0,TOR
Ian Kinsler,2B,5.49533333333,4000.0,DET
Justin Smoak,1B,4.91766666667,3000.0,TOR
Nick Castellanos,3B,5.55933333333,3800.0,DET
Miguel Cabrera,1B,7.86466666667,3300.0,DET
Jose Iglesias,SS,3.721,2300.0,DET
Victor Martinez,C,6.39633333333,3900.0,DET
Cameron Maybin,OF,5.029,3200.0,DET
Ezequiel Carrera,OF,4.66,3200.0,TOR
Kevin Pillar,OF,4.24233333333,2900.0,TOR
Drew Hutchison,P,20.8990666667,7800.0,TOR
Justin Verlander,P,22.7497666667,8700.0,DET
Rougned Odor,2B,5.65333333333,3400.0,TEX
Prince Fielder,1B,6.585,2700.0,TEX
Eduardo Nunez,SS,5.25966666667,4200.0,MIN
Elvis Andrus,SS,4.26133333333,3100.0,TEX
Miguel Sano,OF,6.94333333333,4000.0,MIN
Jurickson Profar,2B,4.98433333333,2800.0,TEX
Shin-Soo Choo,OF,6.683,3900.0,TEX
Brian Dozier,2B,5.36733333333,4100.0,MIN
Robbie Grossman,OF,4.551,2700.0,MIN
Byron Buxton,OF,3.915,2800.0,MIN
Joe Mauer,1B,5.57933333333,3200.0,MIN
Max Kepler,OF,4.90266666667,3500.0,MIN
Kurt Suzuki,C,3.98766666667,2700.0,MIN
Nomar Mazara,OF,6.09833333333,2700.0,TEX
Robinson Chirinos,C,4.70433333333,2400.0,TEX
Adrian Beltre,3B,6.151,3700.0,TEX
Ian Desmond,OF,6.23066666667,4000.0,TEX
Chi Chi Gonzalez,P,16.244,6100.0,TEX
Tyler Duffey,P,18.3081666667,5700.0,MIN
Carlos Beltran,OF,6.15333333333,3200.0,NYY
Jose Ramirez,3B,4.86233333333,3000.0,CLE
Didi Gregorius,SS,4.60466666667,2400.0,NYY
Chris Gimenez,C,4.05066666667,2000.0,CLE
Rajai Davis,OF,4.35033333333,3300.0,CLE
Chase Headley,3B,4.655,2300.0,NYY
Brett Gardner,OF,5.53866666667,3100.0,NYY
Mike Napoli,1B,6.05566666667,3000.0,CLE
Starlin Castro,2B,4.54133333333,2200.0,NYY
Carlos Santana,1B,7.294,3800.0,CLE
Mark Teixeira,1B,6.09333333333,2500.0,NYY
Tyler Naquin,OF,4.79133333333,3900.0,CLE
Francisco Lindor,SS,5.65266666667,3400.0,CLE
Brian McCann,C,6.27933333333,3000.0,NYY
Jason Kipnis,2B,5.83466666667,2900.0,CLE
Lonnie Chisenhall,OF,5.62833333333,2400.0,CLE
Jacoby Ellsbury,OF,5.733,2600.0,NYY
