name,pos,mean,cost,team
Rob Refsnyder,1B,4.32166666667,2600.0,NYY
Trevor Bauer,P,21.0503333333,9200.0,CLE
Ivan Nova,P,18.5727166667,6800.0,NYY
Jose Altuve,2B,5.595,3900.0,HOU
Jason Castro,C,3.65166666667,2500.0,HOU
Marwin Gonzalez,1B,4.18133333333,3000.0,HOU
Jed Lowrie,2B,5.08033333333,2700.0,OAK
Carlos Gomez,OF,4.493,3200.0,HOU
Coco Crisp,OF,5.438,3200.0,OAK
Evan Gattis,C,5.13366666667,2500.0,HOU
George Springer,OF,6.46666666667,3100.0,HOU
Danny Valencia,3B,5.83266666667,3300.0,OAK
Luis Valbuena,3B,4.843,3000.0,HOU
Stephen Vogt,C,5.6,3000.0,OAK
Josh Reddick,OF,6.77266666667,2700.0,OAK
Khris Davis,OF,6.294,3200.0,OAK
Marcus Semien,SS,5.10466666667,3100.0,OAK
Carlos Correa,SS,5.523,2900.0,HOU
Yonder Alonso,1B,4.63466666667,2600.0,OAK
Doug Fister,P,15.9827,7300.0,HOU
Rich Hill,P,25.7985166667,10000.0,OAK
Mark Reynolds,1B,7.43033333333,3700.0,COL
Cody Asche,OF,6.00233333333,3400.0,PHI
Cameron Rupp,C,5.376,3500.0,PHI
Nick Hundley,C,5.802,3200.0,COL
Peter Bourjos,OF,5.55266666667,3500.0,PHI
Freddy Galvis,SS,4.31466666667,3100.0,PHI
DJ LeMahieu,2B,5.87633333333,3400.0,COL
Odubel Herrera,OF,5.86966666667,4200.0,PHI
Trevor Story,SS,6.58366666667,3200.0,COL
Charlie Blackmon,OF,6.61866666667,4100.0,COL
Cesar Hernandez,2B,4.08633333333,2900.0,PHI
Maikel Franco,3B,6.627,3800.0,PHI
Carlos Gonzalez,OF,8.38233333333,4300.0,COL
Nolan Arenado,3B,8.68666666667,4400.0,COL
Chad Bettis,P,21.2606666667,6200.0,COL
Adam Morgan,P,18.5684,5600.0,PHI
Trayce Thompson,OF,4.50166666667,3100.0,LAD
Yasmani Grandal,C,4.13233333333,2500.0,LAD
Matt Kemp,OF,5.045,3400.0,SDP
Melvin Upton Jr.,OF,4.37766666667,3100.0,SDP
Scott Van Slyke,OF,4.48466666667,2100.0,LAD
Howie Kendrick,2B,4.64866666667,2100.0,LAD
Wil Myers,1B,5.382,3700.0,SDP
Justin Turner,3B,4.98166666667,2800.0,LAD
Alexei Ramirez,SS,3.27666666667,2200.0,SDP
Adrian Gonzalez,1B,5.08666666667,2500.0,LAD
Corey Seager,SS,4.822,3000.0,LAD
Alex Dickerson,OF,4.23433333333,2600.0,SDP
Yangervis Solarte,3B,4.554,3200.0,SDP
Ryan Schimpf,3B,4.11066666667,2200.0,SDP
Derek Norris,C,4.36366666667,3400.0,SDP
Yasiel Puig,OF,5.22733333333,2600.0,LAD
Drew Pomeranz,P,25.4264,10400.0,SDP
Hyun-Jin Ryu,P,22.0845833333,8700.0,LAD
Nelson Cruz,OF,6.41333333333,3100.0,SEA
Robinson Cano,2B,5.64366666667,4100.0,SEA
Alcides Escobar,SS,3.47733333333,2300.0,KCR
Dae-Ho Lee,1B,5.32366666667,2300.0,SEA
Chris Iannetta,C,4.26166666667,2800.0,SEA
Paulo Orlando,OF,3.969,2600.0,KCR
Salvador Perez,C,5.06833333333,2600.0,KCR
Franklin Gutierrez,OF,5.36266666667,3300.0,SEA
Kyle Seager,3B,5.112,3200.0,SEA
Kendrys Morales,1B,4.858,2900.0,KCR
Shawn O'Malley,OF,3.221,2200.0,SEA
Eric Hosmer,1B,4.96333333333,3300.0,KCR
Ketel Marte,SS,3.29766666667,2100.0,SEA
Alex Gordon,OF,5.39333333333,2800.0,KCR
Cheslor Cuthbert,3B,4.48866666667,2500.0,KCR
Whit Merrifield,2B,4.33433333333,2700.0,KCR
Danny Duffy,P,23.43665,8800.0,KCR
James Paxton,P,21.50985,7900.0,SEA
Anthony Rendon,3B,4.92566666667,2200.0,WAS
Daniel Murphy,2B,5.77733333333,3800.0,WAS
James Loney,1B,4.293,2700.0,NYM
Curtis Granderson,OF,4.97666666667,3600.0,NYM
Ben Revere,OF,4.60566666667,3400.0,WAS
Brandon Nimmo,OF,3.66966666667,2200.0,NYM
Asdrubal Cabrera,SS,4.12233333333,2600.0,NYM
Yoenis Cespedes,OF,5.17166666667,4000.0,NYM
Danny Espinosa,SS,4.42266666667,2800.0,WAS
Travis d'Arnaud,C,4.33933333333,2500.0,NYM
Neil Walker,2B,4.756,3600.0,NYM
Wilson Ramos,C,5.88633333333,3000.0,WAS
Clint Robinson,1B,4.87333333333,2000.0,WAS
Jayson Werth,OF,5.984,2800.0,WAS
Jose Reyes,3B,4.407,3000.0,NYM
Bryce Harper,OF,8.688,3900.0,WAS
Lucas Giolito,P,21.4051166667,7200.0,WAS
Bartolo Colon,P,17.2533166667,7200.0,NYM
