name,pos,mean,cost,team
Miguel Sano,OF,7.8171,4000.0,MIN
Jurickson Profar,2B,7.09473333333,2800.0,TEX
Shin-Soo Choo,OF,9.27246666667,3900.0,TEX
Brian Dozier,2B,6.24443333333,3900.0,MIN
Robbie Grossman,OF,5.1477,3100.0,MIN
Byron Buxton,OF,4.55756666667,2800.0,MIN
Joe Mauer,1B,5.92183333333,3000.0,MIN
Bobby Wilson,C,5.28573333333,2100.0,TEX
Max Kepler,OF,4.87146666667,3500.0,MIN
Kurt Suzuki,C,4.27296666667,2700.0,MIN
Nomar Mazara,OF,7.41076666667,2700.0,TEX
Adrian Beltre,3B,8.43436666667,3500.0,TEX
Ian Desmond,OF,8.96716666667,4400.0,TEX
Cole Hamels,P,35.84,9500.0,TEX
Kyle Gibson,P,25.477,6300.0,MIN
Carlos Beltran,OF,7.34116666667,3400.0,NYY
Mike Napoli,1B,8.02316666667,3400.0,CLE
Jose Ramirez,3B,6.6333,3100.0,CLE
Didi Gregorius,SS,5.6377,2700.0,NYY
Rajai Davis,OF,6.23463333333,3600.0,CLE
Chase Headley,3B,5.455,2100.0,NYY
Yan Gomes,C,6.00966666667,2600.0,CLE
Alex Rodriguez,3B,6.7137,2400.0,NYY
Brett Gardner,OF,6.94643333333,3000.0,NYY
Starlin Castro,2B,4.88063333333,2200.0,NYY
Carlos Santana,1B,10.3420666667,3900.0,CLE
Mark Teixeira,1B,6.7074,2000.0,NYY
Tyler Naquin,OF,6.2168,3900.0,CLE
Brian McCann,C,7.3883,3000.0,NYY
Jason Kipnis,2B,7.48923333333,3300.0,CLE
Lonnie Chisenhall,OF,7.1833,2600.0,CLE
Jacoby Ellsbury,OF,7.0844,2700.0,NYY
Francisco Lindor,SS,7.21406666667,3400.0,CLE
Corey Kluber,P,37.533,10900.0,CLE
Chad Green,P,31.4586666667,6800.0,NYY
Jose Altuve,2B,7.9198,4300.0,HOU
Colby Rasmus,OF,7.50186666667,3200.0,HOU
Marwin Gonzalez,1B,6.29793333333,3000.0,HOU
Jed Lowrie,2B,6.45923333333,2800.0,OAK
Carlos Gomez,OF,6.46436666667,3200.0,HOU
Coco Crisp,OF,7.06906666667,3000.0,OAK
A.J. Reed,1B,6.6152,2300.0,HOU
Evan Gattis,C,6.98356666667,2900.0,HOU
George Springer,OF,9.50153333333,3100.0,HOU
Danny Valencia,3B,7.2371,3400.0,OAK
Luis Valbuena,3B,7.73306666667,3200.0,HOU
Stephen Vogt,C,6.5815,2700.0,OAK
Josh Reddick,OF,8.1913,2600.0,OAK
Billy Burns,OF,4.7208,2500.0,OAK
Khris Davis,OF,8.17133333333,3000.0,OAK
Marcus Semien,SS,6.14773333333,3100.0,OAK
Carlos Correa,SS,8.16343333333,2900.0,HOU
Yonder Alonso,1B,5.91253333333,2600.0,OAK
Collin McHugh,P,30.1403333333,8000.0,HOU
Daniel Mengden,P,32.5766666667,7300.0,OAK
Mark Reynolds,1B,7.69873333333,3700.0,COL
Cody Asche,OF,7.97263333333,3200.0,PHI
Cameron Rupp,C,6.80303333333,3500.0,PHI
Brandon Barnes,OF,5.19613333333,3200.0,COL
Nick Hundley,C,6.59476666667,3400.0,COL
Peter Bourjos,OF,6.9762,3800.0,PHI
Freddy Galvis,SS,5.66896666667,3300.0,PHI
DJ LeMahieu,2B,6.91576666667,3700.0,COL
Odubel Herrera,OF,8.02763333333,4200.0,PHI
Trevor Story,SS,6.98526666667,3500.0,COL
Tommy Joseph,1B,7.8852,3800.0,PHI
Charlie Blackmon,OF,8.4702,4500.0,COL
Cesar Hernandez,2B,5.5395,3000.0,PHI
Maikel Franco,3B,8.5843,4000.0,PHI
Carlos Gonzalez,OF,9.51293333333,4600.0,COL
Nolan Arenado,3B,9.99823333333,4700.0,COL
Jon Gray,P,37.055,7700.0,COL
Vincent Velasquez,P,41.062,7900.0,PHI
Trayce Thompson,OF,6.67703333333,3100.0,LAD
Matt Kemp,OF,7.2311,3300.0,SDP
Melvin Upton Jr.,OF,6.5802,3500.0,SDP
Howie Kendrick,2B,5.8856,2700.0,LAD
Corey Seager,SS,7.5678,3000.0,LAD
Wil Myers,1B,7.91823333333,3300.0,SDP
Justin Turner,3B,7.1464,2800.0,LAD
Chase Utley,2B,6.38743333333,3100.0,LAD
Alexei Ramirez,SS,4.7334,2600.0,SDP
Yasiel Puig,OF,6.99413333333,3000.0,LAD
Yasmani Grandal,C,6.75423333333,2900.0,LAD
Adrian Gonzalez,1B,8.213,3300.0,LAD
Alex Dickerson,OF,5.14863333333,2600.0,SDP
Yangervis Solarte,3B,5.60436666667,3500.0,SDP
Ryan Schimpf,3B,5.55433333333,2200.0,SDP
Derek Norris,C,6.36446666667,2600.0,SDP
Andrew Cashner,P,30.3086666667,6300.0,SDP
Scott Kazmir,P,37.751,8800.0,LAD
Paulo Orlando,OF,5.20706666667,2500.0,KCR
Robinson Cano,2B,7.9201,3800.0,SEA
Dae-Ho Lee,1B,6.85566666667,2300.0,SEA
Adam Lind,1B,7.25253333333,3000.0,SEA
