name,pos,mean,cost,team
James McCann,C,4.60556666667,2100.0,DET
Justin Upton,OF,7.80143333333,2700.0,DET
Michael Saunders,OF,7.36336666667,3500.0,TOR
Russell Martin,C,7.31583333333,2700.0,TOR
Troy Tulowitzki,SS,7.61523333333,2600.0,TOR
Steven Moya,OF,7.73623333333,2200.0,DET
Edwin Encarnacion,1B,10.3024,4300.0,TOR
Josh Donaldson,3B,9.8753,4600.0,TOR
Darwin Barney,SS,4.75123333333,2400.0,TOR
Ian Kinsler,2B,7.1831,4000.0,DET
Justin Smoak,1B,6.6453,3000.0,TOR
Nick Castellanos,3B,7.45246666667,3800.0,DET
Miguel Cabrera,1B,10.3972333333,3300.0,DET
Jose Iglesias,SS,4.64803333333,2300.0,DET
Victor Martinez,C,8.58183333333,3900.0,DET
Cameron Maybin,OF,6.5743,3200.0,DET
Ezequiel Carrera,OF,5.84986666667,3200.0,TOR
Kevin Pillar,OF,5.29326666667,2900.0,TOR
Drew Hutchison,P,32.0513333333,7800.0,TOR
Justin Verlander,P,35.542,8700.0,DET
Rougned Odor,2B,7.45176666667,3400.0,TEX
Prince Fielder,1B,8.90316666667,2700.0,TEX
Eduardo Nunez,SS,6.62683333333,4200.0,MIN
Elvis Andrus,SS,5.61013333333,3100.0,TEX
Miguel Sano,OF,9.20843333333,4000.0,MIN
Jurickson Profar,2B,7.12066666667,2800.0,TEX
Shin-Soo Choo,OF,8.93243333333,3900.0,TEX
Brian Dozier,2B,7.13713333333,4100.0,MIN
Eddie Rosario,OF,5.92253333333,2000.0,MIN
Robbie Grossman,OF,6.0308,2700.0,MIN
Byron Buxton,OF,5.50413333333,2800.0,MIN
Joe Mauer,1B,7.15066666667,3200.0,MIN
Max Kepler,OF,6.53793333333,3500.0,MIN
Kurt Suzuki,C,5.10743333333,2700.0,MIN
Nomar Mazara,OF,7.1007,2700.0,TEX
Robinson Chirinos,C,6.48566666667,2400.0,TEX
